word,display_form,part_of_speech,difficulty,frequency_rank,source,created_at,updated_at
attempt,attempt,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
attendant,attendant,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
attentive,attentive,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
attenuate,attenuate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
attest,attest,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
attire,attire,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
attitude,attitude,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
attract,attract,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
attractive,attractive,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
attractiveness,attractiveness,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
attribute,attribute,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
attribution,attribution,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
attrition,attrition,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
atypical,atypical,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
audacious,audacious,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
audaciousness,audaciousness,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
audacity,audacity,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
audible,audible,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
audience,audience,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
augment,augment,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
augur,augur,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
augury,augury,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
aural,aural,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
aureate,aureate,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
aureole,aureole,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
aurora,aurora,,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
auspicate,auspicate,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
auspice,auspice,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
auspicious,auspicious,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
austere,austere,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
austerity,austerity,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
authentic,authentic,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
authenticate,authenticate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
authenticity,Authenticity,,,,words - Sheet3.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
authorisation,authorisation,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
authoritarian,authoritarian,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
authoritarianism,authoritarianism,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
authoritative,authoritative,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
authorities,authorities,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
authority,authority,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
authorization,authorization,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
autobiography,autobiography,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
autochthonal,autochthonal,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
autochthonic,autochthonic,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
autochthonous,autochthonous,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
autocrat,autocrat,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
autocratic,autocratic,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
automate,automate,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
automatise,automatise,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
automatize,automatize,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
autonomous,autonomous,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
autonomy,autonomy,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
autopsy,autopsy,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
auxiliary,auxiliary,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
avail,avail,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
avalanche,avalanche,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
avarice,avarice,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
avariciousness,avariciousness,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
avaritia,avaritia,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
avatar,avatar,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
avenge,avenge,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
avenger,avenger,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
avenue,Avenue,,,,words - Sheet3.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
aver,aver,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
averse,averse,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
aversion,aversion,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
avert,avert,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
aviary,aviary,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
avid,avid,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
avocation,avocation,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
avoid,avoid,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
avoidance,avoidance,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
avouchment,avouchment,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
avow,avow,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
avowal,avowal,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
avuncular,avuncular,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
awaken,awaken,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
award,award,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
awareness,awareness,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
awe,awe,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
aweary,aweary,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
awful,awful,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
awkward,awkward,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
awkwardness,awkwardness,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
awry,awry,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
axiom,axiom,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
axiomatic,axiomatic,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
azure,azure,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
babble,babble,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
baby,baby,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
back,back,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
back-to-back,back-to-back,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
backbreaking,backbreaking,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
backchat,backchat,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
backdown,backdown,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
backfire,backfire,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
backing,backing,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
backlash,backlash,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
backup,backup,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
backwater,backwater,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bad,bad,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bad blood,bad blood,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bad luck,bad luck,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bad-mannered,bad-mannered,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bad-tasting,bad-tasting,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
badger,badger,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
badgerer,badgerer,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
badmouth,badmouth,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
badness,badness,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
baffle,baffle,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
baffling,baffling,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bait,bait,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
balance,balance,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bald-faced,bald-faced,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
baleful,baleful,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
balk,balk,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
ball up,ball up,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
ballad,ballad,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
ballast,ballast,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
balm,balm,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
balmy,balmy,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
ban,ban,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
banal,banal,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
banality,banality,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bandy,bandy,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
bane,bane,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
baneful,baneful,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bangle,bangle,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
banish,banish,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bank,bank,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
bankrupt,bankrupt,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bantam,bantam,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
banter,banter,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
barb,barb,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
barbarian,barbarian,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
barbarity,barbarity,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
barbarous,barbarous,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
barbarousness,barbarousness,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bard,bard,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
barde,barde,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bare,bare,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
barefaced,barefaced,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
barely,barely,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
barmy,barmy,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
baron,baron,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
baron hugh caswall tremenheere dowding,Baron Hugh Caswall Tremenheere Dowding,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
baroque,baroque,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
barrack,barrack,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
barrage,barrage,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
barren,barren,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
barrier,barrier,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
barter,barter,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
base,base,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
basic,basic,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bask,bask,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bastard,bastard,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bastion,bastion,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
batch,batch,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bate,bate,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bathetic,bathetic,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bats,bats,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
batter,batter,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
battle,battle,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
batty,batty,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bauble,bauble,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
baulk,baulk,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bawdy,bawdy,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
bawl out,bawl out,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bawling out,bawling out,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bay,bay,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
be amiss,be amiss,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
be bothered,be bothered,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
be contingent,be contingent,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
be eligible for something,be eligible for something,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
be given,be given,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
be jealous,be jealous,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
be on cloud nine,be on cloud nine,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
be proud,be proud,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
be unfit,be unfit,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beaming,beaming,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beamy,beamy,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bear,bear,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bear on,bear on,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
bear witness,bear witness,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beastly,beastly,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
beat,beat,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
beat around the bush,beat around the bush,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
beat back,beat back,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beat out,beat out,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beat up,beat up,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
beatify,beatify,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beau,beau,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beau ideal,beau ideal,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beautify,beautify,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
because,because,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
bechance,bechance,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
becharm,becharm,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
becoming,becoming,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bedazzle,bedazzle,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bedevil,bedevil,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
bedizen,bedizen,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
bedlam,bedlam,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
bedraggled,bedraggled,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bee house,bee house,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
beef,beef,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beef up,beef up,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beefy,beefy,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
beeline,beeline,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
befall,befall,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
befool,befool,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
befuddle,befuddle,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
beg,beg,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beget,beget,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
begin,begin,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
beginner,beginner,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
begrimed,begrimed,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
begrudge,begrudge,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
beguile,beguile,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
behalf,behalf,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
behavior,behavior,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
behaviour,behaviour,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beholder,beholder,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
being,being,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
belabor,belabor,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
belabour,belabour,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
belated,belated,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
beleaguer,beleaguer,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beleaguering,beleaguering,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
belie,belie,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
belief,belief,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
believable,believable,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
believeableness,believeableness,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
belittle,belittle,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
belittlement,belittlement,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bellicose,bellicose,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
belligerence,belligerence,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
belligerency,belligerency,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
belligerent,belligerent,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
beloved,beloved,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
belowground,belowground,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
bemoan,bemoan,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
bemock,bemock,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bemuse,bemuse,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
bench vise,bench vise,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
benefactor,benefactor,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
beneficent,beneficent,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
beneficial,beneficial,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
beneficiary,beneficiary,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
benevolent,benevolent,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
benign,benign,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bent,bent,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bequeath,bequeath,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bequest,bequest,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
berate,berate,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
berceuse,berceuse,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bereave,bereave,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bereavement,bereavement,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
berserk,berserk,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
berserker,berserker,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
berth,berth,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beseech,beseech,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
beset,beset,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
besiege,besiege,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
besieging,besieging,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
besmirch,besmirch,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
besot,besot,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bespeak,bespeak,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
best,best,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
bestial,bestial,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
bestir,bestir,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bestow,bestow,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
bete noire,bete noire,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
betide,betide,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
betoken,betoken,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
betray,betray,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
betroth,betroth,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
better,better,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
beverage,beverage,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
bevy,bevy,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
bewail,bewail,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
bewilder,bewilder,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
